baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ComboS2Rep2_S56,ComboS2Rep3_S84,ComboS2Rep1_S24,CtrlS2Rep2_S35,CtrlS2Rep1_S21,CtrlS2Rep3_S63,gene
80.60973445,-0.414463655,0.37617797,-1.101775458,0.270559303,0.539412163,84.26109766,38.47197239,84.04756246,130.5396396,87.91052684,58.42760776,GENE1
368.9817796,0.284397179,0.219652766,1.294758012,0.195403721,0.452753483,381.2606102,356.3719548,477.2355845,315.9278673,411.041112,272.0535486,GENE2
441.0441445,-0.63740497,0.196840976,-3.238172172,0.001202982,0.016483909,345.3870736,398.8936084,291.7513088,539.7101067,483.5078976,587.0148717,GENE3
483.1098447,0.155846035,0.21822675,0.71414726,0.475136125,0.718030475,515.5778055,582.1416875,430.8645156,459.6311681,348.0781671,562.3657247,GENE4
160.8111192,-0.00281071,0.240835101,-0.011670684,0.990688352,0.996821644,163.5165856,168.0617741,150.7059741,185.3882277,128.30185,168.8923037,GENE5
32.48752417,0.284534781,0.454840467,0.625570505,0.53159669,0.758269669,33.37073175,32.39745043,41.54074926,38.39401165,15.4437412,33.77846074,GENE6
217.2605193,-0.04675628,0.257820384,-0.181352147,0.856091177,0.943130371,176.8648783,263.2292848,201.9073627,267.6611098,155.6253921,238.2750879,GENE7
64.67186759,0.161528269,0.320008397,0.504762596,0.61372559,0.812422019,56.73024397,71.88184315,76.31905097,68.01224921,59.39900462,55.68881365,GENE8
271.5910596,-0.371586707,0.263249733,-1.411536879,0.15808637,0.406904542,277.8113418,216.6579498,216.3983217,337.8673025,190.0768148,390.7346269,GENE9
73.08851667,0.299250439,0.337995741,0.885367486,0.375958462,0.636523639,73.41560984,77.9563651,90.81001001,89.95168444,41.57930323,64.81812736,GENE10
503.8278665,-0.140771382,0.191496384,-0.735112484,0.462270992,0.707097978,530.5946348,442.4276825,463.7106894,525.4494738,607.0578272,453.7268915,GENE11
1176.277367,-0.002293035,0.170626982,-0.013438878,0.989277649,0.996451842,1164.638538,1160.233694,1200.817473,1013.601908,1350.733365,1167.639224,GENE12
712.0591979,-0.117717778,0.209215484,-0.562662839,0.573664493,0.785839661,595.6675617,854.4827552,598.9596405,636.2436217,888.6091091,698.392499,GENE13
275.78912,-0.116838167,0.24640833,-0.474164844,0.635382361,0.826019578,236.9321954,278.4155897,279.1924776,363.0976531,191.2647949,305.8320094,GENE14
2475.588531,-0.513758887,0.186386088,-2.756422927,0.005843738,0.05152299,1856.246953,1798.058499,2463.463038,2708.423279,3415.442766,2611.896653,GENE15
134.9647871,0.283719582,0.267273647,1.061532199,0.288448108,0.557496058,155.1739026,153.8878896,136.215015,125.0547808,87.91052684,151.5466076,GENE16
84.80190202,0.216225157,0.294672091,0.733782274,0.463081446,0.70741736,100.9464635,86.05572771,85.97969033,93.24259973,79.59466619,62.99226462,GENE17
